date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:33	40232/40232	---M--	200	added ('OK')	font/ttf	etag:%229d28-5af06c62c2640%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.ttf	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
14:46:35	140249/140249	---M--	200	added ('OK')	image/svg+xml	etag:%22223d9-5af06c5dfdb00%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.svg	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
14:46:37	197172/197172	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2230234-5af06c5c15680%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.eot	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
14:46:37	197172/197172	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2230234-5af06c5c15680%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.eot?	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900d41d.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
14:46:38	73852/73852	---M--	200	added ('OK')	font/woff2	etag:%221207c-5af06c63b6880%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.woff2	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.woff2	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
14:46:39	95436/95436	---M--	200	added ('OK')	font/woff	etag:%22174cc-5af06c61ce400%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.woff	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.woff	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
14:46:40	196952/196952	---M--	200	added ('OK')	font/ttf	etag:%2230158-5af06c5a2d200%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.ttf	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
14:46:41	54266/54266	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d3fa-5af06c21e8d40%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.eot?v=2.4.0	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.eot	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
14:46:42	30064/30064	---M--	200	added ('OK')	font/woff2	etag:%227570-5af06c23d11c0%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.woff2?v=2.4.0	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.woff2	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
14:46:43	54056/54056	---M--	200	added ('OK')	font/ttf	etag:%22d328-5af06c22dcf80%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.ttf?v=2.4.0	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
14:46:43	746673/746673	---M--	200	added ('OK')	image/svg+xml	etag:%22b64b1-5af06c62c2640%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.svg	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
14:46:45	81332/81332	---M--	200	added ('OK')	font/woff	etag:%2213db4-5af06c20f4b00%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.woff?v=2.4.0	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.woff	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
14:46:46	239045/239045	---M--	200	added ('OK')	image/svg+xml	etag:%223a5c5-5af06c20008c0%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.svg?v=2.4.0	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.svg	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
